"idade","sexo","racacor","causabas","ano","n"
"< 1","F","Bra","XVIII","2010",12
"< 1","F","Bra","XVIII","2011",6
"< 1","F","Bra","XVIII","2012",5
"< 1","F","Bra","XVIII","2013",6
"< 1","F","Bra","XVIII","2014",7
"< 1","F","Bra","XVIII","2015",7
"< 1","F","Bra","XVIII","2016",10
"< 1","F","Bra","XVIII","2017",10
"< 1","F","Bra","XX","2006",1
"< 1","F","Bra","XX","2007",2
"< 1","F","Bra","XX","2008",6
"< 1","F","Bra","XX","2009",5
"< 1","F","Bra","XX","2010",7
"< 1","F","Bra","XX","2011",1
"< 1","F","Bra","XX","2012",3
"< 1","F","Bra","XX","2013",3
"< 1","F","Bra","XX","2014",1
"< 1","F","Bra","XX","2015",1
"< 1","F","Bra","XX","2016",4
"< 1","F","Bra","XX","2017",3
"< 1","F","Ind","I","2006",2
"< 1","F","Ind","I","2008",2
"< 1","F","Ind","I","2009",1
"< 1","F","Ind","IV","2008",1
"< 1","F","Ind","IV","2009",1
"< 1","F","Ind","X","2008",1
"< 1","F","Ind","X","2014",1
"< 1","F","Ind","XVI","2006",2
"< 1","F","Ind","XVI","2007",4
"< 1","F","Ind","XVI","2008",2
"< 1","F","Ind","XVI","2009",3
"< 1","F","Ind","XVI","2012",2
"< 1","F","Ind","XVI","2014",5
"< 1","F","Ind","XVI","2015",3
"< 1","F","Ind","XVI","2017",2
"< 1","F","Ind","XVII","2010",1
"< 1","F","Ind","XVII","2014",1
"< 1","F","Ind","XVII","2016",2
"< 1","F","Ind","XVIII","2007",1
"< 1","F","Ind","XVIII","2008",1
"< 1","F","Ind","XVIII","2012",2
"< 1","F","Ind","XVIII","2015",1
"< 1","F","Ind","XX","2007",1
"< 1","F","null","I","2006",33
"< 1","F","null","I","2007",18
"< 1","F","null","I","2008",17
"< 1","F","null","I","2009",25
"< 1","F","null","I","2010",14
"< 1","F","null","I","2011",16
"< 1","F","null","I","2012",13
"< 1","F","null","I","2013",21
"< 1","F","null","I","2014",11
"< 1","F","null","I","2015",7
"< 1","F","null","I","2016",3
"< 1","F","null","I","2017",4
"< 1","F","null","II","2007",1
"< 1","F","null","II","2008",1
"< 1","F","null","II","2011",1
"< 1","F","null","II","2012",2
"< 1","F","null","II","2015",1
"< 1","F","null","III","2006",3
"< 1","F","null","III","2010",1
"< 1","F","null","III","2013",1
"< 1","F","null","III","2014",1
"< 1","F","null","III","2016",1
"< 1","F","null","IV","2006",9
"< 1","F","null","IV","2007",7
"< 1","F","null","IV","2008",6
"< 1","F","null","IV","2009",4
"< 1","F","null","IV","2010",2
"< 1","F","null","IV","2012",1
"< 1","F","null","IV","2013",3
"< 1","F","null","IV","2014",1
"< 1","F","null","IV","2015",3
"< 1","F","null","IV","2016",1
"< 1","F","null","IV","2017",2
"< 1","F","null","IX","2006",3
"< 1","F","null","IX","2008",1
"< 1","F","null","IX","2009",2
