CODMUNOCOR,I,II,III,IV,IX,V,VI,VII,VIII,X,XI,XII,XIII,XIV,XV,XVI,XVII,XVIII,XX,n,ds_nomepad,in_pobreza,nu_latitud,nu_longit
292780,1,5,"",14,5,2,"","","",2,"","","","","","","","",1,30,SANTA CRUZ DA VITORIA,N,"-14,96008","-39,81184"
291650,3,11,1,12,26,"",2,"","",8,5,"","","","","",1,16,21,106,ITAPICURU,S,"-11,31095","-38,21861"
292205,2,6,1,3,16,"","","","",4,2,"","",1,"",1,"",5,13,54,MULUNGU DO MORRO,S,"-11,96722","-41,64380"
520870,1,8,"","",5,"",1,"","",1,2,1,"",3,"","",1,"",6,29,GOIANIA,N,"-16,67331","-49,25581"
291110,4,5,"",8,23,2,"","","",4,2,"","",4,"",1,"",3,20,76,FORMOSA DO RIO PRETO,S,"-11,04703","-45,19099"
290720,9,36,1,10,66,11,4,"",1,22,8,1,"",3,"",2,"",29,49,252,CASA NOVA,N,"-9,17859","-40,97580"
292525,4,1,2,2,20,"",1,"","",1,1,"","","","",1,"",26,19,78,PONTO NOVO,S,"-10,86715","-40,13539"
293050,17,37,3,44,97,8,4,"","",37,12,"","",13,"",3,"",122,52,449,SERRINHA,S,"-11,65953","-39,00813"
290660,"",13,"","",17,2,3,"","",3,"","","",1,"",1,"",6,4,50,CANDIBA,S,"-14,41319","-42,86440"
293030,1,11,"",11,32,"","","","",5,1,"",1,1,"","","",1,8,72,SERRA DOURADA,S,"-12,76259","-43,95234"
291790,"",2,"","",13,1,1,"","",1,"",1,"",2,"","","",2,8,31,JANDAIRA,S,"-11,56575","-37,78687"
290220,"",1,"",1,6,"","","","",1,1,"","","","","","",8,6,24,ARAMARI,N,"-12,08818","-38,50307"
290500,3,17,1,11,18,"",1,"","",10,4,"",1,"","",1,1,14,8,90,CACULE,S,"-14,50421","-42,22141"
292300,8,16,"",8,51,3,4,"","",12,11,"","",3,"",5,2,37,36,196,NOVA VICOSA,N,"-17,89339","-39,37201"
290689,"",3,"","",2,"","","","","","","","","","","","",28,6,39,CARAIBAS,S,"-14,72207","-41,26543"
290900,1,5,"",3,9,2,2,"","",4,1,"",1,"","","","",9,4,41,CORDEIROS,S,"-15,03723","-41,93573"
